S,I,R
499.0,1.0,0.0
498.9490418003589,1.0407456141357347,0.010212585505452019
498.8960129159213,1.0831458174210842,0.020841266657709252
498.84082976684374,1.1272673023852753,0.03190293077102713
498.78340540268,1.1731794433787324,0.0434151539413919
498.7236494069979,1.2209543717534683,0.05539622124873708
498.66146778296104,1.270667066161084,0.06786515087792742
498.5967627785789,1.3223954906790873,0.08084173074207701
498.5294328041197,1.3762206599740292,0.09434653590630343
498.45937223025885,1.4322267984926844,0.10840097124851517
498.3864712038314,1.4905014858630643,0.12302731030562693
498.3106155672826,1.5511357200482212,0.1382487126692168
498.2316866550226,1.6142240779386918,0.15408926703874004
498.14956112111014,1.679864850681184,0.17057402820872158
498.06411077042264,1.7481601765855597,0.1877290529918692
497.97520236491107,1.8192161931375583,0.2055814419514316
497.8826974452688,1.893143177053716,0.2241593776775848
497.7864521284193,1.9700557029535546,0.24349216862721346
497.686316898448,2.0500728069379814,0.263610294614091
497.582136416887,2.1333181354526283,0.2845454476604155
497.4737493261919,2.2199200993287005,0.3063305744794668
497.3609879748366,2.310012087200046,0.3289999379634524
497.243678199089,2.403732636145432,0.35258916476564645
497.121639094501,2.501225610135497,0.37713529536355017
496.9946827931337,2.6026403728462975,0.402676834020083
496.86261419807823,2.7081319941357562,0.42925380778611094
496.7252307060933,2.8178614655871406,0.4569078283196335
496.5823219629141,2.931995889080672,0.48568214800532916
496.4336695858429,3.0507086917393362,0.5156217224178757
496.2790468751248,3.174179849554289,0.5467732753209693
496.1182185220206,3.3025961109402466,0.5791853670392568
495.9509403115924,3.436151225775952,0.6129084626317306
495.7769588199955,3.5750461788991434,0.647995001105357
495.5960110974155,3.7194894310585984,0.6844994715259027
495.40782434617273,3.8696971652818535,0.7224784885454297
495.21211559184985,4.025893539212845,0.7619908689372963
495.00859134435103,4.188310940322506,0.8030977153264959
494.79694725209555,4.357190248519105,0.8458624993853621
494.57686774867545,4.532781105242814,0.8903511460817074
494.34802569475204,4.71534217982912,0.9366321254188215
494.11008200947185,4.905141446754659,0.9847765437734608
493.86268529191204,5.102456472091361,1.0348582359965885
493.60547143923264,5.307574697472918,1.0869538632944113
493.3380632733242,5.520793710199741,1.1411430164760057
493.0600701390632,5.742421543087389,1.1975083178493833
492.7710874990119,5.972776974099595,1.2561355268884773
492.4706965325008,6.212189817205011,1.317113650294187
492.1584637517403,6.461001199476189,1.3805350487834793
491.83394057081404,6.719563872483425,1.4464955567025397
491.4966628892246,6.988242510141344,1.5150946006340953
491.1461506822979,7.267413998397263,1.5864353193048286
490.78190761702103,7.557467700660017,1.6606246823189008
490.4034206027727,7.85880577479553,1.73777362243174
490.01015938037483,8.171843455053468,1.8179971645716537
489.60157612370665,8.497009319424517,1.9014145568688037
489.17710507063714,8.8347455274135,1.9881494019493302
488.73616207410737,9.185508125958414,2.078329799934182
488.2781442199045,9.549767292300087,2.1720884877953583
487.8024294694467,9.928007550715039,2.2695629798383186
487.30837631969575,10.32072797026456,2.3708957100397106
486.7953233908521,10.728442424261603,2.4762341848863043
486.2625891011511,11.15167976736158,2.5857311314873623
485.709471395346,11.590983961098205,2.6995446435558246
485.1352474522317,12.046914214156041,2.817838333612282
484.5391733604472,12.520045146888263,2.9407814926645734
483.92048388971807,13.01096686654309,3.068549243738872
483.27839235570593,13.520284955671896,3.201322688622219
482.61209041034897,14.048620521621267,3.339289068029779
481.9207478687191,14.59661020910079,3.4826419221801213
481.2035126326927,15.164906122657014,3.6315812446502904
480.45951074909624,15.754175627035739,3.7863136238680806
479.68784634040514,16.365101252783067,3.947052406811841
478.8876016553497,16.99838049188331,4.114017852766971
478.05783721973694,17.654725500765647,4.287437279497434
477.1975921513093,18.334862656682162,4.467545192008532
476.3058843132363,19.039532244625452,4.654583442138275
475.3817106729025,19.769487961783476,4.8488013653140625
474.42404777168815,20.52549632074826,5.050455907563593
473.43185236369794,21.30833590319403,5.2598117331080605
472.4040619048,22.118796727863437,5.477141367336583
471.3395953119237,22.95767938416003,5.7027253039163055
470.23735385566994,23.825794047188136,5.936852097141972
469.09622219673435,24.72395936437587,6.17981843888983
467.91506935013877,25.653001383506062,6.431929266355226
466.69274994041746,26.61375223502615,6.693497824556455
465.42810561995526,27.607048675714225,6.964845704330597
464.11996659311814,28.633730528909425,7.246302877972501
462.76715320500364,29.69463904889916,7.538207746097283
461.36847778756277,30.790615074429223,7.84090713800812
459.92274667664617,31.922497048489184,8.154756274864752
458.4287623606298,33.091118893774706,8.480118745595634
456.8853258028208,34.297307730953385,8.817366466225906
455.2912389702494,35.541881433987086,9.16687959576362
453.64530748238,36.8256461124478,9.529046405172306
451.9463435480039,38.14939328607179,9.90426316592443
450.19316907297275,39.51389693072379,10.292933996303578
